P1,P2,P3,P4,P5,C ,D 
97,1197,4.16,2014,0,503110.4,79
50,913.5,13.52,2014,0,372658,77
45.9,622.16,9.45,2014,0,355143.8,70
60.32,1336.2,9.45,2011,0,396988.053,83
58.24,875.5,8,2011,0,324130.9764,73
81.6,1440.97,12,2011,0,463061.2756,88
52.5,606,11.22,2011,0,266131.4656,71
32.32,765,8.32,2011,0,254998.4976,70
27.81,408,7.21,2014,0,264012.32,66
27.54,522.21,7,2014,0,297369.6,67
38,1043.33,6.12,2014,0,383819.7,78
30.9,674.65,5.05,2013,0,295264.41,86
84,943.34,9.27,2014,0,609900,78
79.31,1393,17.17,2014,0,668787.24,91
46.35,609.03,6.3,2014,0,290145.32,72
61.61,1058.72,12.12,2012,0,385832.6648,81
45.9,622.2,7.14,2013,0,326402.12,82
45.9,630,7,2013,0,302611.32,71
63,1558.96,12.12,2013,0,500583.6,92
53,1248,27,2013,0,505672.2,84
54.06,1351.5,11.44,2013,0,513737.928,86
28,198,5.15,2014,0,219348.8,60
52.02,383.25,5,2012,0,201587.4388,66
51.51,362.59,7.07,2013,0,271297.18,73
51.51,327.6,7.35,2013,0,232593.57,65
29.4,333.54,5.05,2014,0,244467.3,64
40.4,1060.8,11.44,2014,0,472865.8,78
64.26,2075.45,13.13,2014,0,529544.4,101
58.24,1886.96,3.15,2014,0,472732.92,91
53.04,1764.6,7,2014,0,557557.88,93
46,1431.7,10.4,2014,0,499561.92,84
40.95,1169.05,10,2014,0,423028.32,80
42,1010,3.15,2014,0,394447.02,75
25.5,545.9,4.04,2014,0,253050.72,68
25.75,663.32,8.24,2014,0,273854,71
27.3,462,8.32,2014,0,278052.6,68
39.78,417.04,5.25,2014,0,266115.96,67
31.5,400,5.05,2014,0,258712.08,66
19.38,366,5.2,2014,0,253161.92,64
24,496.46,5.2,2014,0,287184.48,67
57.57,1189.78,13.26,2014,0,515121.2,82
53.04,456.56,5.05,2014,0,261063.8,65
35.36,896.1,10.4,2014,0,374673.64,75
60.6,1283.16,11.55,2013,0,505624.68,82
45.45,875.5,7.35,2013,0,332820.576,75
29,346.5,6,2012,0,214739.7824,71
26,303,5.1,2012,0,206080.9504,70
20.4,405.6,5.05,2014,0,224753.28,66
32.96,261.04,4.04,2014,0,232245.64,63
41.6,913.5,10.4,2014,0,373403.8,76
34,400,4.08,2014,0,239797.82,64
34.34,501.84,5.1,2014,0,258236,64
35.36,482.04,5.25,2014,0,264721.6,68
69.36,697.2,7.28,2014,0,324967.06,73
24.72,786.79,4.16,2014,0,341115.5,70
52,1111,13.26,2014,0,421278,80
29.29,448,7.07,2014,0,295148.7,65
36.36,787.5,8.24,2014,0,344529.68,71
27.54,301.99,6,2014,0,244213.2,65
47,735,6.12,2014,0,307280.38,69
23.92,818.85,5.1,2014,0,316470,73
